field	baseline_enumeration	enumeration_description
in.puma	G36002001	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002002	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002201	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002202	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002203	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002401	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002402	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002701	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002702	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002801	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002802	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002901	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002902	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36002903	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003001	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003002	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003003	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003101	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003102	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003103	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003104	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003105	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003106	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003107	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003201	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003202	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003203	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003204	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003205	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003206	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003207	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003208	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003209	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003210	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003211	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003212	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003301	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003302	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003303	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003304	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003305	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003306	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003307	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003308	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003309	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003310	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003311	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003312	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003313	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003701	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003702	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003703	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003704	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003705	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003706	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003707	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003708	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003709	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003710	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003801	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003802	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003803	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003804	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003805	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003806	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003807	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003808	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003809	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003810	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003901	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003902	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36003903	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004001	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004002	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004003	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004004	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004005	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004006	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004007	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004008	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004009	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004010	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004011	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004012	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004013	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004014	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004015	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004016	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004017	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004018	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004101	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004102	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004103	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004104	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004105	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004106	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004107	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004108	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004109	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004110	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004111	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004112	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004113	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G36004114	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37000100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37000200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37000300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37000400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37000500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37000600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37000700	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37000800	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37000900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001000	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001201	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001202	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001203	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001204	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001205	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001206	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001207	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001208	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001301	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001302	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001701	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001702	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001703	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001704	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001801	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001802	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001803	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37001900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002000	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002201	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002202	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002700	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002800	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37002900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003001	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003002	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003101	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003102	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003103	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003104	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003105	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003106	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003107	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003108	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003700	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003800	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37003900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37004000	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37004100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37004200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37004300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37004400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37004500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37004600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37004700	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37004800	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37004900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37005001	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37005002	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37005003	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37005100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37005200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37005300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G37005400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G38000100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G38000200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G38000300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G38000400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G38000500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000700	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000801	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000802	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000901	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000902	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000903	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000904	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000905	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000906	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000907	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000908	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000909	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39000910	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001000	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001700	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001801	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001802	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001803	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001804	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001805	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39001900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39002000	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39002100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39002200	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39002300	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39002400	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39002500	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39002600	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39002700	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39002800	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39002900	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39003000	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
in.puma	G39003100	GISJOIN identifier for each PUMA: ""G"" + the NHGIS state code + ""0"" + the NHGIS PUMA code
